# question	expectedSourceId
状态码100是什么意思	workorder-enums
状态码200是什么意思	workorder-enums
状态码270是什么意思	workorder-enums
状态码300是什么意思	workorder-enums
状态码400是什么意思	workorder-enums
状态码410是什么意思	workorder-enums
状态码500是什么意思	workorder-enums
状态码600是什么意思	workorder-enums
状态码670是什么意思	workorder-enums
状态码700是什么意思	workorder-enums
未审核工单处于什么阶段	workorder-enums
审核中的状态码是多少	workorder-enums
审核失败后是什么状态	workorder-enums
未派单对应哪个状态码	workorder-enums
处理中对应哪个状态码	workorder-enums
工单超时对应哪个状态	workorder-enums
已处理工单是什么状态码	workorder-enums
已验收工单是什么状态码	workorder-enums
验收失败对应什么状态码	workorder-enums
已取消对应什么状态码	workorder-enums
需求类工单的类型码是什么	workorder-enums
故障类工单的类型码是什么	workorder-enums
高优先级的代码是什么	workorder-enums
中优先级的代码是什么	workorder-enums
低优先级的代码是什么	workorder-enums
分配操作的处理类型码是什么	workorder-enums
请求协助的处理类型码是什么	workorder-enums
催单操作的处理类型码是什么	workorder-enums
完成操作的处理类型码是什么	workorder-enums
确认完成的处理类型码是什么	workorder-enums
仍有问题的处理类型码是什么	workorder-enums
创建成功的处理类型码是什么	workorder-enums
审核操作的处理类型码是什么	workorder-enums
工单从创建到结束有哪些步骤	work-order-process
工单审核流程怎么走	work-order-process
审核通过后如何派单	work-order-process
处理人如何完成工单	work-order-process
处理完成后如何确认	work-order-process
工单如何取消	work-order-process
每日统计包含哪些数据	work-order-process
每周统计包含哪些数据	work-order-process
系统支持哪些工单查询方式	system-overview
系统支持导出什么格式	system-overview
延时工单有哪些提醒	system-overview
系统有哪些用户角色	system-overview
工单助手是否需要登录	system-overview
工单列表应该如何展示	response-format
工单详情应该如何展示	response-format
状态分布报表如何展示	response-format
流程说明应该采用什么格式	response-format
